문제번호,문제,선지 1,선지 2,선지 3,선지 4,정답,키워드,해설,과목,회차
1,User Interface 설계 시 오류 메시지나 경고에 관한 지침으로 가장 거리가 먼 것은?,메시지는 이해하기 쉬워야 한다.,오류로부터 회복을 위한 구체적인 설명이 제공되어야 한다.,오류로 인해 발생 될 수 있는 부정적인 내용을 적극적으로 사용자들에게 알려야 한다.,소리나 색의 사용을 줄이고 텍스트로만 전달하도록 한다.,4,"오류 메시지, 사용자 경고","사용자 인터페이스 설계 시 오류 메시지나 경고에 대한 지침은 사용자가 오류로부터 회복할 수 있도록 구체적인 설명을 제공하고, 사용자에게 부정적인 내용을 적극적으로 알려야 한다는 것이 중요하다. 이는 사용자가 오류를 이해하고 문제를 해결할 수 있도록 도와주는 역할을 한다.",1,1
2,다음 중 애자일(Agile) 소프트웨어 개발에 대한 설명으로 틀린 것은?,공정과 도구보다 개인과의 상호작용을 더 가치 있게 여긴다.,동작하는 소프트웨어보다는 포괄적인 문서를 가치 있게 여긴다.,계약 협상보다는 고객과의 협력을 가치 있게 여긴다.,계획을 따르기보다 변화에 대응하기를 가치 있게 여긴다.,2,"동작하는 소프트웨어, 포괄적인 문서, ","애자일 소프트웨어 개발은 동작하는 소프트웨어를 가치 있게 여기며, 포괄적인 문서보다는 작동하는 소프트웨어를 우선시한다. 따라서 ""동작하는 소프트웨어보다는 포괄적인 문서를 가치 있게 여긴다""는 설명이 틀린 것이다.",1,1
3,소프트웨어 설계에서 요구사항 분석에 대한 설명으로 틀린 것은?,소프트웨어가 무엇을 해야하는가를 추적하여 요구사항 명세를 작성하는 작업이다.,사용자의 요구를 추출하여 목표를 정하고 어떤 방식으로 해결할 것인지 결정하는 단계이다.,소프트웨어 시스템이 사용되는 동안 발견되는 오류를 정리하는 단계이다.,소프트웨어 개발의 출발점이면서 실질적인 첫 번째 단계이다.,3,요구사항 분석,"소프트웨어 설계에서 요구사항 분석은 사용자의 요구를 추출하고 목표를 정하는 단계로, 소프트웨어가 무엇을 해야하는지를 명세화하는 작업이다. 따라서, 소프트웨어 시스템에서 발생하는 오류를 정리하는 것은 요구사항 분석과는 관련이 없다.",1,1
4,객체지향 기법에서 상위 클래스의 메소드와 속성을 하위 클래스가 물려받는 것을 의미하는 것은?,Abstraction,Polymorphism,Encapsulation,Inheritance,4,상속,상속은 객체지향 프로그래밍에서 상위 클래스의 메소드와 속성을 하위 클래스가 물려받는 개념을 의미합니다. 이를 통해 코드의 재사용성을 높이고 구조를 단순화할 수 있습니다.,1,1
5,설계 기법 중 하향식 설계 방법과 상향식 설계 방법에 대한 비교 설명으로 가장 옳지 않은 것은?,하향식 설계에서는 통합 검사 시 인터페이스가 이미 정의되어 있어 통합이 간단하다.,하향식 설계에서 레벨이 낮은 데이터 구조의 세부 사항은 설계초기 단계에서 필요하다.,상향식 설계는 최하위 수준에서 각각의 모듈들을 설계하고 이러한 모듈이 완성되면 이들을 결합하여 검사한다.,상향식 설계에서는 인터페이스가 이미 성립되어 있지 않더라도 기능 추가가 쉽다.,4,"통합 검사, 레벨, 인터페이스","하향식 설계에서는 통합 검사 시 인터페이스가 이미 정의되어 있어 통합이 간단하다는 설명은 옳지만, 레벨이 낮은 데이터 구조의 세부 사항이 설계초기 단계에서 필요하다는 것은 상향식 설계의 특징이다. 상향식 설계에서는 모듈을 최하",1,1
6,자료흐름도(DFD)의 각 요소별 표기 형태의 연결이 옳지 않은 것은?,Process : 원,Data Flow : 화살표,Data Store : 삼각형,Terminator : 사각형,3,"자료흐름도(DFD), 표기 형태, ","자료흐름도(DFD)는 시스템의 데이터 흐름과 처리 과정을 그림으로 표현한 것이다. 각 요소들의 표기 형태는 Process(원), Data Flow(화살표), Data Store(삼각형), Terminator(사각형)으로 구성되어 있다. 이 중에서 옳지 않은 표기 형태는 없으며, 각 요소의 형태가",1,1
7,소프트웨어 개발에 이용되는 모델(Model)에 대한 설명 중 거리가 먼 것은?,모델은 개발 대상을 추상화하고 기호나 그림 등으로 시각적으로 표현한다.,모델을 통해 소프트웨어에 대한 이해도를 향상시킬 수 있다.,모델을 통해 이해 당사자 간의 의사소통이 향상된다.,모델을 통해 향후 개발될 시스템의 유추는 불가능하다.,4,"유추 불가능, ","소프트웨어 개발 모델은 향후 개발될 시스템을 일정 수준까지 유추할 수 있는데, 모델을 통해 향후 개발될 시스템을 전혀 유추할 수 없다는 것은 모델의 가장 중요한 기능을 무시한 것이다. 모델을 통해 개발될 시스템의 구조나 동작 방",1,1
8,다음의 설명에 해당하는 언어는?,JAVA,C,UML,Python,3,객체지향 프로그래밍,"객체지향 프로그래밍이란 현실 세계의 사물을 모델링하여 소프트웨어를 개발하는 방법론을 의미하며, JAVA와 Python은 객체지향 프로그래밍 언어로, C는 절차지향 프로그래밍 언어이다. UML은 객체지향 프로그래밍에서 사용되는 모델링 언어로, 시스",1,1
9,다음 내용이 설명하는 UI설계 도구는?,스토리보드(Storyboard),목업(Mockup),프로토타입(Prototype),유스케이스(Usecase),2,UI설계 도구,"UI설계 도구는 사용자 인터페이스를 디자인하고 구현하기 위해 사용되는 도구들을 말합니다. 유스케이스는 사용자 시나리오를 기반으로 하는 요구사항 기술 방법론이며, 스토리보드는 시각적인 스토리 플로우를 보여주는 도구입니다. 목업은 디자인의 개념을 시각",1,1
10,애자일(Agile) 기법 중 스크럼(Scrum)과 관련된 용어에 대한 설명이 틀린 것은?,"스크럼 마스터(Scrum Master)는 스크럼 프로세스를 따르고, 팀이 스크럼을 효과적으로 활용할 수 있도록 보장하는 역할 등을 맡는다.","제품 백로그(Product Backlog)는 스크럼 팀이 해결해야 하는 목록으로 소프트웨어 요구사항, 아키텍처 정의 등이 포함될 수 있다.",스프린트(Sprint)는 하나의 완성된 최종 결과물을 만들기 위한 주기로 3달 이상의 장기간으로 결정된다.,속도(Velocity)는 한 번의 스프린트에서 한 팀이 어느 정도의 제품 백로그를 감당할 수 있는지에 대한 추정치로 볼 수 있다.,3,"스프린트(Sprint), 속도(Velocity)","스프린트는 스크럼에서 사용되는 개발 주기를 의미하며, 보통 2주에서 4주 정도의 짧은 기간으로 결정된다. 속도는 팀이 한 스프린트에서 처리할 수 있는 작업의 양을 나타내는 지표이다.",1,1
